,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
842,169769.856960999,176,3,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,21064.1395727548,19895.3228843183,0
843,98970.0542284288,152,6,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,21879.2659025618,0
844,151164.358190301,152,0,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,17218.994429868,17694.9142826594,0
845,227597.941269163,164,2,0.0011,0.693,1.468,1.447,0.613,4.44318181818182E-05,27443.8915718815,22603.1609518527,3898.02952040604
846,291434.363970523,176,6,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,39432.3796401703,15500.5046061134,28970.8860933543
847,189689.573334097,164,8,0.0418,0.543,1.33,1.411,0.584,4.11363636363636E-05,24391.7326448113,18480.3806720427,0
848,146773.196241606,152,4,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,13158.6685354529,21355.9050220716,0
849,106807.224123559,164,0,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,23600.128669033,0
850,151482.540656604,164,3,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,15235.3590018978,21854.6152978241,0
851,257958.312617334,152,7,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,32241.0467853486,14160.522641247,20775.5589238059
852,281319.012815525,152,1,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,36998.9554289828,12014.1973408725,62186.3616874992
853,324371.208594996,176,6,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,37236.7827934925,21826.6174578997,4883.51028072892
854,161508.880542787,176,3,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,16454.6493591143,23248.1563961984,0
855,238420.526885344,152,3,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,24251.1728712426,18136.3231191896,1680.95130400256
